Timestamp,Temperature
2023-06-07 10:00:00,54.2696
2023-06-07 11:00:00,56.2496
2023-06-07 12:00:00,58.7696
2023-06-07 13:00:00,61.1996
2023-06-07 14:00:00,63.6296
2023-06-07 15:00:00,65.4296
2023-06-07 16:00:00,66.5096
2023-06-07 17:00:00,67.4996
2023-06-07 18:00:00,67.9496
2023-06-07 19:00:00,68.6696
2023-06-07 20:00:00,70.1996
2023-06-07 21:00:00,68.8496
2023-06-07 22:00:00,66.2396
2023-06-07 23:00:00,64.7996
2023-06-08 00:00:00,63.3596
2023-06-08 01:00:00,58.1396
2023-06-08 02:00:00,56.9696
2023-06-08 03:00:00,58.2296
2023-06-08 04:00:00,56.3396
2023-06-08 05:00:00,55.7096
2023-06-08 06:00:00,55.6196
2023-06-08 07:00:00,55.1696
2023-06-08 08:00:00,53.009598
2023-06-08 09:00:00,53.9996
2023-06-08 10:00:00,53.9996
2023-06-08 11:00:00,56.2496
2023-06-08 12:00:00,56.7896
2023-06-08 13:00:00,58.9496
2023-06-08 14:00:00,57.329597
2023-06-08 15:00:00,60.1196
2023-06-08 16:00:00,61.1996
2023-06-08 17:00:00,61.7396
2023-06-08 18:00:00,63.4496
2023-06-08 19:00:00,62.819603
2023-06-08 20:00:00,59.8496
2023-06-08 21:00:00,60.6596
2023-06-08 22:00:00,61.919605
2023-06-08 23:00:00,61.469604
